

GeneDescription - Details of a gene sequence which is inferred from one or more observations
Field	Type	Required	Description
description_id	string	Y	Unique identifier of this GeneDescription within the file
author	string	Y	Curator of this sequence record
acknowledgements	array		List of individuals whose contribution to the germline set should be acknowledged
lab_address	string	Y	Institution and full address of corresponding author
release_version	integer	Y	Version number of this record, updated whenever a revised version is published or released
release_date	string	Y	Date of this release
release_description	string	Y	Brief descriptive notes of the reason for this release and the changes embodied
gene_symbol	string		The accepted name for this gene or allele, if any
sequence	string	Y	nt sequence of the gene. This should cover the full length that is available, including where possible 5' UTR and lead-in for V-gene sequences
coding_sequence	string	Y	nucleotide sequence of the coding region, aligned, in the case of a V-gene, with the IMGT numbering scheme
coding_sequence_identifier	string	Y	Unique identifier of the coding sequence, as allocated by an identified repository
alt_names	array		Alternative names for this sequence
locus	string	Y	Gene locus
sequence_type	string	Y	Sequence type (V, D, J, C)
functional	boolean	Y	True if the gene is functional, false if it is a pseudogene
inference_type	string	Y	Type of inference(s) from which this gene sequence was inferred
species	string	Y	Binomial designation of subject's species
species_subgroup	string		Race, strain or other species subgroup to which this subject belongs
status	string		Status of record, assumed active if the field is not proesent
gene_subgroup	string		Gene subgroup or clade, as (and if) identified for this species and gene
subgroup_designation	string		Gene designation within this subgroup, if identified
allele_designation	string		Allele designation, if identified
j_codon_frame	integer		Codon position of the first sequence symbol in the 'sequence' field. Mandatory for J genes. Not used for V or D genes. ('1' means the sequence is in-frame, '2' means that the first bp is missing from the first codon, '3' means that the first 2 bp are missing)
gene_start	integer		Co-ordinate of first gene-coding nucleotide in the 'sequence' field
gene_end	integer		Co-ordinate of the last gene-coding nucleotide in the 'sequence' field
utr_5_prime_start	integer		Start co-ordinate in the 'sequence' field of 5 prime UTR (V-genes only)
utr_5_prime_end	integer		End co-ordinate in the 'sequence' field of 5 prime UTR (V-genes only)
l_region_start	integer		Start co-ordinate in the 'sequence' field of L region (V-genes only)
l_region_end	integer		End co-ordinate in the 'sequence' field of L region (V-genes only)
v_rs_start	integer		Start co-ordinate in the 'sequence' field of V recombination site (V-genes only)
v_rs_end	integer		End co-ordinate in the 'sequence' field of V recombination site (V-genes only)
d_rs_3_prime_start	integer		Start co-ordinate in the 'sequence' field of 3 prime D recombination site (D-genes only)
d_rs_3_prime_end	integer		End co-ordinate in the 'sequence' field of 3 prime D recombination site (D-genes only)
d_rs_5_prime_start	integer		Start co-ordinate in the 'sequence' field of 5 prime D recombination site (D-genes only)
d_rs_5_prime_end	integer		End co-ordinate in the 'sequence' field of 5 prime D recombination site (D-genes only)
j_cdr3_end	integer		In the case of a J-gene, the co-ordinate in the gene-coding sequence of the first nucelotide of the conserved PHE or TRP (IMGT codon position 118)
j_rs_start	integer		Start co-ordinate in the 'sequence' field of J recombination site (J-genes only)
j_rs_end	integer		End co-ordinate in the 'sequence' field of J recombination site (J-genes only)
v_gene_delineations	array		
genomic_support	array		
rearranged_support	array		
paralogs	array		Gene symbols of any paralogs
notes	string		Notes


RearrangedSequence - Details of a directly observed rearranged sequence or an inference from rearranged sequences contributing support for a gene or allele
Field	Type	Required	Description
sequence_id	string	Y	Unique identifier of this RearrangedSequence within the file
sequence	string	Y	nucleotide sequence
derivation	string	Y	The class of nucleic acid that was used as primary starting material
observation_type	string	Y	The type of observation from which this sequence was drawn, e.g. direct sequencing, inference from repertoire
notes	string		Notes
repository_name	string	Y	Name of the repository in which the sequence has been deposited
repository_id	string	Y	Id or serial number of the sequence within the repository
deposited_version	string	Y	Version number of the sequence within the repository
seq_start	integer	Y	Start co-ordinate of the sequence detailed in this record, within the sequence deposited
seq_end	integer	Y	End co-ordinate of the sequence detailed in this record, within the sequence deposited


GenomicSequence - Details of a genomic sequence contributing support for a gene or allele
Field	Type	Required	Description
sequence_id	string	Y	unique identifier of this GenomicSequence within the file
sequence	string	Y	Sequence of interest described in this record (typically this will include gene and promoter region)
notes	string		Notes
repository_name	string	Y	Name of the repository in which the assembly or contig is deposited
assembly_id	string	Y	Identifier of the assembly or contig within the repository
patch_no	string		Genome assembly patch number in which this gene was determined
gff_seqid	string	Y	Germline sequence (from the assembly) of a window including the gene and preferably also the promoter region
gff_start	integer	Y	Genomic co-ordinates of the start of the sequence of interest described in this record, in Ensemble GFF version 3
gff_end	integer	Y	Genomic co-ordinates of the end of the sequence of interest described in this record, in Ensemble GFF version 3
strand	string	Y	sense (+ or -)


GeneDelineationV - Delineation of a V-gene in a particular system
Field	Type	Required	Description
germline_delineation_id	string	Y	Unique identifier of this GeneDelineationV within the file
delineation_scheme	string	Y	Name of the delineation scheme
